[2021-11-22T13:54:56.883] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:57:58.923] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:57:58.925] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:57:58.926] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:57:58.926] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:57:58.926] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:59:28.236] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:59:28.238] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:59:28.238] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T13:59:28.239] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:01.028] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:01.029] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:01.029] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:01.030] [INFO] NativeLogger - 插件方法执行成功，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager]listers:{\"Pause\":[null]}"]
[2021-11-22T14:16:18.090] [INFO] NativeLogger - 开始获取插件NativeLogger
[2021-11-22T14:16:18.090] [INFO] NativeLogger - 开始执行插件方法，插件：NativeLogger，方法：WriteLog，参数：["EventManager",2,"[EventManager.addEventListener]type:\"Pause\",fn:undefined"]
